Actual Cow
1.93084 -1.0902
1.7581 -1.17842
1.57206 -1.18594
1.39104 -1.15767
1.14431 -1.12874
0.828812 -1.11834
0.513321 -1.10794
0.15137 -1.11983
-0.329577 -1.23429
-0.931241 -1.38963
-1.3065 -1.42215
-1.73213 -1.38707
-2.17185 -1.28515
-2.38615 -1.27291
-2.57595 -1.31448
-2.86905 -1.40096
-3.12413 -1.43048
-3.43299 -1.41439
-3.66829 -1.34243
-3.88643 -1.25306
-4.04716 -1.17063
-4.19382 -1.05576
-4.29824 -0.927965
-4.42671 -0.70379
-4.45492 -0.488158
-4.44973 -0.282138
-4.41377 0.082387
-4.35989 0.386387
-4.32845 0.658271
-4.32063 0.905805
-4.34312 1.09563
-4.3752 1.23487
-4.39999 1.35022
-4.39845 1.44404
-4.38472 1.60224
-4.37779 1.73171
-4.48595 1.85642
-4.46681 2.04074
-4.28382 2.13887
-4.16893 2.20802
-4.12442 2.20643
-4.12441 2.20641
-4.28382 2.13887
-4.43725 1.90979
-4.43743 1.90953
-4.47915 1.46199
-4.4792 1.46149
-4.45094 0.956553
-4.45091 0.956001
-4.4439 0.774053
-4.43749 0.606923
-4.43747 0.606543
-4.43741 0.6057
-4.42493 0.243545
-4.40144 0.0461819
-4.37938 -0.256453
-4.37606 -0.442068
-4.37262 -0.508347
-4.39539 -0.864434
-4.49377 -1.0559
-4.54152 -1.13315
-4.63903 -1.29048
-4.65824 -1.31632
-4.66222 -1.28013
-4.6741 -1.31151
-4.72169 -1.35755
-4.85939 -1.44837
-4.87904 -1.46962
-4.93393 -1.50059
-5.00441 -1.50252
-5.07538 -1.50134
-5.08772 -1.4918
-5.11195 -1.47921
-5.1203 -1.416
-5.13474 -1.38844
-5.13065 -1.28871
-5.10854 -1.19134
-5.08715 -1.07856
-5.01244 -0.763598
-5.00689 -0.726888
-4.90266 -0.475777
-4.88243 -0.43719
-4.81574 -0.266689
-4.73954 -0.11675
-4.71436 -0.0365133
-4.69595 0.0408265
-4.62852 0.250043
-4.60476 0.587741
-4.63278 0.935459
-4.67669 1.44116
-4.65127 1.91902
-4.48896 2.23315
-4.25456 2.41407
-4.01827 2.46005
-3.81369 2.44018
-3.40559 2.35686
-2.83351 2.27997
-2.45264 2.26554
-2.12708 2.24567
-1.9556 2.22531
-1.64226 2.19333
-1.32337 2.18078
-1.00503 2.17293
-0.5416 2.16878
-0.0423085 2.17953
0.680529 2.22454
1.01834 2.22638
1.26608 2.21581
1.35201 2.22706
1.56347 2.24636
1.94738 2.3375
2.20924 2.42132
2.47128 2.51199
2.67884 2.60853
2.94023 2.78205
3.01142 2.83456
3.21136 2.92771
3.21208 2.92809
3.21221 2.92842
3.24811 2.96656
3.24836 2.96678
3.30371 3.0103
3.30443 3.01044
3.41374 3.04547
3.54076 3.02759
3.54161 3.02754
3.54224 3.02722
3.67882 2.96197
3.67912 2.96165
3.75206 2.90604
3.75235 2.90583
3.97164 2.73896
3.97194 2.73878
4.13615 2.60133
4.1362 2.6013
4.21298 2.52868
4.27357 2.47139
4.27363 2.47134
4.40138 2.371
4.40146 2.37084
4.40167 2.37074
4.60195 2.20721
4.60232 2.20681
4.64814 2.15967
4.81171 2.01312
4.81273 2.01234
4.90337 1.94891
4.90393 1.94859
4.96744 1.92153
4.96786 1.92127
5.05867 1.87515
5.05942 1.87488
5.1322 1.82793
5.13276 1.82758
5.13329 1.82711
5.18713 1.74659
5.18734 1.74566
5.18776 1.67106
5.18738 1.66958
5.15141 1.56961
5.15109 1.56876
5.13303 1.5054
5.1325 1.50478
5.09617 1.45992
5.0607 1.38523
5.06004 1.38421
5.0593 1.3834
5.0049 1.32978
4.90508 1.2787
4.90369 1.27823
4.90199 1.27809
4.803 1.27642
4.69461 1.27734
4.69336 1.27745
4.5479 1.30458
4.54665 1.30459
4.43749 1.2954
4.43701 1.29532
4.33652 1.27929
4.33594 1.2792
4.14482 1.25096
4.14431 1.25087
3.87933 1.19667
3.7613 1.17371
3.60493 1.14326
3.60471 1.14323
3.35044 1.08068
3.15312 0.850347
2.95556 0.625049
2.7099 0.296975
2.55908 0.062903
2.342 -0.265267
2.28942 -0.35011
2.19478 -0.521006
2.15563 -0.690997
2.12011 -0.880902
2.04525 -0.992876
1.93084 -1.0902
